,source,author,title,description,url,urlToImage,publishedAt,content
10,"{'id': None, 'name': ""Barron's""}","Jacob Sonenshine, and Jack Denton","Stock Market Today: Payrolls Surge, Dow Wavers, Amazon Soars - Barron's",Oil prices continued their seemingly inexorable march higher. U.S. crude topped $92 a barrel for the first time since 2014.,https://www.barrons.com/articles/stock-market-today-51643970111,https://images.barrons.com/im-473530/social,2022-02-04T16:42:00Z,"Stocks were mostly rising on Friday. The surprisingly strong jobs report pointed to a more aggressive Federal Reserve, but Amazons gain powered the Nasdaq Composite and S&amp;P 500 higher. January sa… [+4124 chars]"
11,"{'id': None, 'name': 'New York Post'}",Jenna Lemoncelli,Bill Belichick's Giants 'influence' on coaching decision goes beyond texts: Brian Flores - New York Post ,"In a Thursday interview on NPR’s “The Limits with Jay Williams” podcast, Flores claimed the Patriots coach and the Giants are “examples” of corrupt hiring.",https://nypost.com/2022/02/04/brian-flores-claims-bill-belichick-had-influence-in-giants-job/,https://nypost.com/wp-content/uploads/sites/2/2022/02/flores_bill4.jpg?quality=90&strip=all&w=1024,2022-02-04T16:29:00Z,"Former Dolphins coach Brian Flores said he believes “back channel conversations” and Bill Belichick’s “influence” led to him not getting the Giants’ head coaching job. 
On Tuesday, Flores filed a 58… [+3985 chars]"
12,"{'id': 'the-washington-post', 'name': 'The Washington Post'}",Liz Clarke,"Daniel Snyder could block release of probe details under deal with NFL, document shows - The Washington Post",The House Democrats investigating the NFL's handling of Washington's toxic workplace culture said new documents cast doubt on the league's explanation for not making Beth Wilkinson's report public.,https://www.washingtonpost.com/sports/2022/02/04/congress-nfl-wilkinson-report/,https://www.washingtonpost.com/wp-apps/imrs.php?src=https://arc-anglerfish-washpost-prod-washpost.s3.amazonaws.com/public/CXAE24EEJII6ZFI4DYGMG4R6KM.jpg&w=1440,2022-02-04T16:11:50Z,"The existence of the document, which was obtained by a congressional committee investigating the NFLs handling of the teams toxic culture and released Friday morning, undermines claims that the NFLs … [+4902 chars]"
13,"{'id': 'cnn', 'name': 'CNN'}","Alta Spells, Pamela Kirkland and Dakin Andone, CNN",Travis McMichael will be tried on federal hate crime charges after indicating he will not plead guilty in Ahmaud Arbery's killing - CNN,"Travis McMichael will stand trial on federal hate crimes charges in the killing of 25-year-old Black jogger Ahmaud Arbery after indicating Friday he would not plead guilty, days after a judge rejected the terms of a plea deal he had reached with prosecutors.",https://www.cnn.com/2022/02/04/us/travis-mcmichael-federal-hearing-ahmaud-arbery-killing/index.html,https://cdn.cnn.com/cnnnext/dam/assets/220131143747-travis-gregory-mcmichael-split-super-tease.jpg,2022-02-04T16:05:00Z,"(CNN)Travis McMichael will stand trial on federal hate crimes charges in the killing of 25-year-old Black jogger Ahmaud Arbery after indicating Friday he would not plead guilty, days after a judge re… [+3727 chars]"
14,"{'id': None, 'name': 'Gizmodo.com'}",George Dvorsky,Webb Space Telescope Successfully Spots Its First Starlight - Gizmodo,HD 84406 will go down in history as the first star spotted by the $10 billion space telescope.,https://gizmodo.com/james-webb-space-telescop-first-star-light-hd-84406-1848480785,"https://i.kinja-img.com/gawker-media/image/upload/c_fill,f_auto,fl_progressive,g_center,h_675,pg_1,q_80,w_1200/89e711291c8067bb7800cf6a4eff1fbf.jpg",2022-02-04T16:00:00Z,"A major milestone has been achieved in the deployment of the James Webb Space Telescope, with an onboard instrument detecting its first photons from a distant star. This means engineers can now begin… [+3580 chars]"
15,"{'id': 'the-verge', 'name': 'The Verge'}",Jon Porter,Rockstar Games officially confirms GTA6 is in active development - The Verge,"A new entry in the Grand Theft Auto series is in active development, Rockstar Games has confirmed. Also, GTAV and Grand Theft Auto Online will release on PS5 and Xbox Series X and S on March 15th.",https://www.theverge.com/2022/2/4/22917783/rocstar-games-gta6-active-development-gta5-ps5-xbox-series-x-patch,https://cdn.vox-cdn.com/thumbor/IeRqIK_qpZJz5CawigopGZuZSmo=/0x75:3840x2085/fit-in/1200x630/cdn.vox-cdn.com/uploads/chorus_asset/file/22522740/480_3840.jpg,2022-02-04T15:59:32Z,"GTAVs current-gen patches will arrive on March 15th
GTA5s Michael De Santa.
Image: Rockstar Games
A new entry in the Grand Theft Auto series is in active development, Rockstar Games has confirmed.… [+2135 chars]"
16,"{'id': 'the-wall-street-journal', 'name': 'The Wall Street Journal'}","Sarah Chaney Cambon, Gabriel T. Rubin","U.S. Jobs Growth Surged by 467,000 in January as Economy Weathered Omicron - The Wall Street Journal","Unemployment rate ticked up to 4%, with more people joining the workforce",https://www.wsj.com/articles/january-jobs-report-unemployment-rate-2022-11643924453,https://images.wsj.net/im-479699/social,2022-02-04T15:46:00Z,"Employers hired workers at a swift pace in January after bulking up more than previously reported at the end of last year, reflecting an economy that is growing solidly in the face of the Omicron wav… [+393 chars]"
17,"{'id': 'cnn', 'name': 'CNN'}","By <a href=""/profiles/adrienne-vogt"">Adrienne Vogt</a>, <a href=""/profiles/meg-wagner"">Meg Wagner</a> and Melissa Macaya, CNN",The latest on the coronavirus pandemic and the Omicron variant: Live updates - CNN,The Beijing Olympics Committee has identified more than 20 new Covid-19 infections among Olympic athletes and personnel as the Games begin. Follow for live news updates.,https://www.cnn.com/world/live-news/omicron-variant-coronavirus-news-02-04-22/index.html,https://dynaimage.cdn.cnn.com/cnn/digital-images/org/020389cc-10fd-4516-b10f-43e998cbacde.png,2022-02-04T15:44:00Z,"The Beijing Olympic Committee has reported 21 new Covid-19 cases among Games-related personnel as of Thursday, it said in a statement Friday ahead of the Opening Ceremony. 
Since the closed-loop sys… [+1331 chars]"
18,"{'id': 'the-wall-street-journal', 'name': 'The Wall Street Journal'}","Yaroslav Trofimov, Anastasia Vlasova for The Wall Street Journal",Dismal Russian Record in Occupied Eastern Ukraine Serves as Warning - The Wall Street Journal,"The areas, once engines of the Ukrainian economy, are now impoverished, depopulated enclaves that increasingly rely on Russian subsidies to survive. It’s what many fear could happen to the rest of the country if Vladimir Putin carries out a broader invasion.",https://www.wsj.com/articles/dismal-russian-record-in-occupied-eastern-ukraine-serves-as-warning-11643988253,https://images.wsj.net/im-479433/social,2022-02-04T15:24:00Z,"STANYTSIA LUHANSKA, UkraineThe Russian-controlled areas of Ukraines Luhansk and Donetsk regions were once the engines of the countrys economy and dominated its politics. 
They produced its richest m… [+166 chars]"
19,"{'id': None, 'name': 'CNBC'}",Pippa Stevens,"Biden extends Trump-era solar tariffs, with several modifications - CNBC","The Biden administration said Friday that it will extend tariffs on solar imports for four more years, but there are changes meant to boost U.S. solar output.",https://www.cnbc.com/2022/02/04/president-biden-extends-trump-era-solar-tariffs-with-several-modifications-.html,https://image.cnbcfm.com/api/v1/image/102417780-159639875r.jpg?v=1643987910,2022-02-04T15:07:08Z,"The Biden administration said Friday that it will extend Section 201 tariffs on imported solar cells and panels for another four years, but with several changes to existing provisions.
The tariff ra… [+3623 chars]"
